abnehmen,nahm ab,abgenommen,nimmst ab
ausscheiden,schied aus,ausgeschieden,scheidest aus
backen,backte,gebacken,bäckst
befehlen,befahl,befohlen,befiehlst
begehen,beging,begangen,begehst
beginnen,begann,begonnen,beginnst
beissen,biss,gebissen,beisst
bergen,barg,geborgen,birgst
bersten,barst,geborsten,birst
betrügen,betrog,betrogen,betrügst
bewegen bewegen,er bewog er bewegte,bewogen bewegt,bewegst
biegen,bog,gebogen,biegst
bieten,bot,geboten,bietest
binden,band,gebunden,bindest
bitten,bat,gebeten,bittest
brechen,brach,gebrochen,brichst
bringen,brachte,gebracht,bringst
denken,dachte,gedacht,denkst
empfehlen,empfahl,empfohlen,empfiehlst
erlöschen1,erlosch,erloschen,es erlischt
erschrecken,erschrak,erschrocken,erschrickst
erwägen,erwog,erwogen,erwägst
fahren,fuhr,gefahren,fährst
fallen fällen,fiel fällte,gefallen gefällt,fällst er fällt
fechten,focht,gefochten,fichtst
flechten,flocht,geflochten,flichtst
fliehen,floh,geflohen,fliehst
gebären,gebar,geboren,gebierst,gebärst
geben,gab,gegeben,gibst
gedeihen,gedieh,gediehen,gedeihst
gehen,ging,gegangen,gehst
gelingen,gelang,gelungen,gelingst
gelten,galt,gegolten,giltst
genesen,genas,genesen,genest
geniessen,genoss,genossen,geniesst
giessen,goss,gegossen,giesst
glimmen,glomm,geglommen,glimmst
graben,grub,gegraben,gräbst
greifen,griff,gegriffen,greifst
haben,hatte,gehabt,hast
halten,hielt,gehalten,hältst
hängen (stark) hängen (schwach),hing hängte,gehangen gehängt,hängst hängst
heben,hob,gehoben,hebst
klingen,klang,geklungen,klingst
kneifen,kniff,gekniffen,kneifst
laden,lud,geladen,lädst (sie lädt)
lesen,las,gelesen,liest
leihen,lieh,geliehen,leihst
liegen,lag,gelegen,liegst
lügen,log,gelogen,lügst
mahlen malen,mahlte malte,gemahlen gemalt,mahlst malst
meiden,mied,gemieden,meidest
messen,mass,gemessen,misst
mögen,mochte,gemocht,magst
nehmen,nahm,genommen,nimmst
preisen,pries,gepriesen,preist
quellen,quoll,gequollen,quillst
raten,riet,geraten,rätst
reissen,riss,gerissen,reisst
riechen,roch,gerochen,riechst
ringen,rang,gerungen,ringst
salzen,salzte,gesalzen,salzt
saufen,soff,gesoffen,säufst
saugen,sog saugte,gesogen gesaugt,saugst
(er-)schaffen(stark)  schaffen(schwach),(er-)schuf schaffte,erschaffen geschaffen geschafft,(er-)schaffst schaffst
schelten,schalt,gescholten,schiltst
schieben,schob,geschoben,schiebst
schlafen,schlief,geschlafen,schläfst
schlagen,schlug,geschlagen,schlägst
schleichen,schlich,geschlichen,schleichst
schleifen(stark) schleifen(schwach),schliff schleifte,geschliffen geschleift,schleifst schleifst
schliessen,schloss,geschlossen,schliesst
schmeissen,schmiss,geschmissen,schmeisst
schmelzen,schmolz,geschmolzen,schmilzt
schreien,schrie,geschrien,schreist
schreiten,schritt,geschritten,schreitest
schwimmen,schwamm,geschwommen,schwimmst
schwören,schwor,geschworen,schwörst
sinken(stark) senken(schwach),sank senkte,gesunken gesenkt,sinkst senkst
sollen,sollte,gesollt,sollst
stehlen,stahl,gestohlen,stiehlst
stossen,stiess,gestossen,stösst
streiten,stritt,gestritten,streitest
tragen,trug,getragen,trägst
trinken,trank,getrunken,trinkst
tun,tat,getan,tust
überziehen,überzog zog über,überzogen übergezogen,überziehst ziehst über
verderben,verdarb,verdorben,verdirbst
verdriessen,verdross,verdrossen,verdriesst
verschlingen,verschlang,verschlungen,verschlingst
verzeihen,verzieh,verziehen,verzeihst
waschen,wusch,gewaschen,wäschst
weisen,wies,gewiesen,weist
wenden,wandte wendete,gewandt gewendet,wendest
wissen,wusste,gewusst,weist
ziehen,zog,gezogen,ziehst
zwingen,zwang,gezwungen,zwingst
beneiden,beneidete,beneidet,beneidest
legen,legte,gelegt,legst
lehren,lehrte,gelehrt,lehrst
lernen,lernte,gelernt,lernst
melden,meldete,gemeldet,meldest
niesen,nieste,geniest,niest
speisen,speiste,gespeist,speist
stimmen,stimmte,gestimmt,stimmst
täuschen,täuschte,getäuscht,täuschst
überzeugen,überzeugte,überzeugt,überzeugst
winken,winkte,gewinkt,winkst
